CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 CARVÃO VAPOR ,2085,3897,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3217,2020
 CARVÃO METALÚRGICO ,0,6815,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 URÂNIO U3O8 ,206,4699,-858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 ENERGIA HIDRÁULICA ,34089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 LENHA ,26457,0,0,0,0,0,0,0,7208,79,0,3198,0,0,0,0,7239,2020
 PRODUTOS DA CANA ,55597,0,0,0,0,0,0,14038,0,0,0,0,0,0,0,0,18078,2020
 OUTRAS FONTES PRIMÁRIAS ,25171,0,0,0,0,0,0,0,698,145,0,0,0,0,0,0,8430,2020
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,3,1,735,4007,111,0,0,116,2020
 ÓLEO DIESEL ,0,10171,40,-806,0,0,0,502,0,28,4,6230,33946,940,0,314,985,2020
 ÓLEO COMBUSTÍVEL ,0,37,-65,-13884,0,0,0,111,0,10,7,10,0,0,0,827,1420,2020
 GASOLINA ,0,3805,63,-1824,0,0,0,0,0,0,0,0,20136,0,30,0,0,2020
 GLP ,0,2235,15,0,0,0,0,0,6740,339,260,23,0,0,0,0,995,2020
 NAFTA ,0,2932,-52,-59,0,0,4609,0,0,0,0,0,0,0,0,0,0,2020
 QUEROSENE ,0,269,31,-1135,0,0,2,0,2,0,0,0,0,0,1895,0,1,2020
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,1061,2020
 COQUE DE CARVÃO MINERAL ,0,937,90,0,0,0,0,0,0,0,0,0,0,0,0,0,6859,2020
 URÂNIO CONTIDO NO UO2,0,2594,-2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 ELETRICIDADE,0,2160,0,-34,0,0,0,3296,12801,7292,3683,2797,0,173,0,0,17060,2020
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,405,74,0,9,0,0,0,0,3859,2020
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511,-113,-1063,0,0,734,0,0,0,0,9,15337,0,0,0,0,2020
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2057,-51,-567,0,0,0,3210,0,0,0,0,0,0,0,0,5582,2020
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1236,-18,-382,0,0,6868,0,0,0,0,0,0,0,0,0,0,2020
 ALCATRÃO ,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,78,2020
 PETRÓLEO ,144303,8885,-1718,-63508,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 GÁS NATURAL ,44398,8628,0,0,-1546,-15571,310,5277,408,119,28,0,2010,0,0,0,8306,2019
 CARVÃO VAPOR ,2162,4901,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,3439,2019
 CARVÃO METALÚRGICO ,0,7536,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 URÂNIO U3O8 ,0,3073,2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 ENERGIA HIDRÁULICA ,34217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
