Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Pot. Compl.,0,11495,28323,45893,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,17,13669,27728,49888,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,95237,132780,135213,135287,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Gás Natural,11242,19153,22255,24255,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Carvão,3174,2251,340,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Nuclear,1990,3395,3395,3395,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Óleos Comb,5184,0,0,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Biomassa,12000,13395,13395,13395,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Eólica,6556,51273,117209,170707,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Solar,21,6353,37081,80039,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Outros,490,490,490,490,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Pot. Compl.,0,12470,40278,73863,29. GN Pré-Sal ao preço de US$ 6/MMBtu
GD,17,13669,27728,49888,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Hidro,95237,140623,152342,152342,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,11242,21350,31863,33021,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,3174,2251,340,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1990,3395,3395,3395,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,5184,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,12000,25096,27520,28546,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,6556,33391,33193,46678,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,21,2170,102590,164897,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,490,490,490,490,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0,9444,32001,76096,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,17,13669,27728,49888,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,95237,126504,126504,126504,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Gás Natural,11242,34043,42169,51019,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Carvão,3174,2251,340,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Nuclear,1990,3395,3395,3395,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Óleos Comb,5184,0,0,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Biomassa,12000,13395,13395,13395,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Eólica,6556,60808,118296,158198,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Solar,21,6353,41822,84781,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Outros,490,490,490,490,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Pot. Compl.,0,1771,27433,55886,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
GD,17,13669,27728,49888,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Hidro,95237,138142,143418,145224,8. Repotenciação de UHE
Gás Natural,11242,17499,25625,31676,8. Repotenciação de UHE
Carvão,3174,2251,340,0,8. Repotenciação de UHE
Nuclear,1990,3395,3395,3395,8. Repotenciação de UHE
Óleos Comb,5184,0,0,0,8. Repotenciação de UHE
Biomassa,12000,13459,13459,13459,8. Repotenciação de UHE
Eólica,6556,49177,102708,145815,8. Repotenciação de UHE
Solar,21,2170,23006,65964,8. Repotenciação de UHE
Outros,490,490,490,490,8. Repotenciação de UHE
Pot. Compl.,0,11151,34931,61447,8. Repotenciação de UHE
