regiao,prod_etanol_anidro_hidr,ano
Região Sul,4.4,2014
Região Sul,3.79,2015
Região Sul,2.91,2016
Região Sul,2.49,2017
Região Sul,2.19,2018
Região Sul,1.64,2019
Região Sul,0.09,2020
Região Sul,0.0,2021
Região Sul,0.01,2022
Região Centro-Oeste,2218.1,2013
Região Centro-Oeste,2349.74,2014
Região Centro-Oeste,2712.33,2015
Região Centro-Oeste,2599.94,2016
Região Centro-Oeste,2668.06,2017
Região Centro-Oeste,3264.48,2018
Região Centro-Oeste,3307.2,2019
Região Centro-Oeste,2877.25,2020
Região Centro-Oeste,2636.7,2021
Região Centro-Oeste,3077.39,2022
Região Centro-Oeste,1181.94,2013
Região Centro-Oeste,1132.04,2014
Região Centro-Oeste,1316.32,2015
Região Centro-Oeste,1211.65,2016
Região Centro-Oeste,1415.09,2017
Região Centro-Oeste,1757.28,2018
Região Centro-Oeste,2254.38,2019
Região Centro-Oeste,3123.87,2020
Região Centro-Oeste,3935.36,2021
Região Centro-Oeste,4309.52,2022
Região Centro-Oeste,3887.5,2013
Região Centro-Oeste,4269.03,2014
Região Centro-Oeste,4809.35,2015
Região Centro-Oeste,4584.21,2016
Região Centro-Oeste,4874.78,2017
Região Centro-Oeste,4491.43,2018
Região Centro-Oeste,5470.74,2019
Região Centro-Oeste,5318.03,2020
Região Centro-Oeste,4979.71,2021
Região Centro-Oeste,5129.49,2022
