CONTA,    PRODUÇÃO  ,    IMPORTAÇÃO  ,VARIAÇÃO DE ESTOQUES,    EXPORTAÇÃO  ,    NÃO-APROVEITADA  ,    REINJEÇÃO  ,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,    RESIDENCIAL  ,    COMERCIAL  ,    PÚBLICO,    AGROPECUÁRIO  ,      RODOVIÁRIO  ,      FERROVIÁRIO  ,      AÉREO ,      HIDROVIÁRIO  ,   INDUSTRIAL - TOTAL  ,CONSUMO NÃO-IDENTIFICADO,Ano
 CARVÃO VAPOR ,2458,5637,220,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,0,2015
 CARVÃO METALÚRGICO ,0,7625,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 URÂNIO U3O8 ,512,2159,-1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 ENERGIA HIDRÁULICA ,30937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 LENHA ,25074,0,0,0,0,0,0,0,6333,94,0,2813,0,0,0,0,7424,0,2015
 PRODUTOS DA CANA ,50400,0,0,0,0,0,0,13154,0,0,0,0,0,0,0,0,15512,0,2015
 OUTRAS FONTES PRIMÁRIAS ,16743,0,0,0,0,0,0,0,492,93,0,0,0,0,0,0,7027,0,2015
 ENERGIA PRIMÁRIA TOTAL ,287125,46996,-2589,-38050,-1376,-8721,684,18479,7137,301,43,2813,1552,0,0,0,43203,0,2015
 BIODIESEL ,0,0,7,0,0,0,0,0,0,0,0,413,2434,63,0,0,73,0,2015
 ÓLEO DIESEL ,0,5885,313,-651,0,0,0,823,0,3,2,5883,35426,902,0,343,1039,0,2015
 ÓLEO COMBUSTÍVEL ,0,339,-27,-7721,0,0,0,242,0,26,9,13,0,0,0,963,2238,0,2015
 GASOLINA ,0,2259,-2,-474,0,0,0,0,0,0,0,0,23256,0,48,0,0,0,2015
 GLP ,0,1949,-1,-16,0,0,0,29,6541,396,256,2,0,0,0,0,1032,0,2015
 NAFTA ,0,6171,65,0,0,0,6801,0,0,0,0,0,0,0,0,0,0,0,2015
 QUEROSENE ,0,1129,25,-2440,0,0,2,0,2,0,0,0,0,0,3609,0,0,0,2015
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,1148,0,2015
 COQUE DE CARVÃO MINERAL ,0,1583,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7886,0,2015
 URÂNIO CONTIDO NO UO2,0,2729,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
 ELETRICIDADE,0,2979,0,-18,0,0,0,3199,11282,7864,3736,2303,0,176,0,0,17030,0,2015
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,473,88,0,8,0,0,0,0,3624,0,2015
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,431,898,-1107,0,0,489,0,0,0,0,12,15424,0,0,0,0,0,2015
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2349,-22,-385,0,0,266,3955,0,0,0,0,0,0,0,0,6996,0,2015
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1160,33,-627,0,0,6730,0,0,0,0,0,0,0,0,0,0,0,2015
 ALCATRÃO ,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,94,0,2015
 ENERGIA SECUNDÁRIA TOTAL ,0,28968,1490,-13442,0,0,14425,8439,18300,8379,4004,8638,76542,1143,3657,1307,41165,0,2015
 TOTAL  ,287125,75965,-1098,-51493,-1376,-8721,15110,26919,25438,8681,4048,11451,78094,1143,3657,1307,84368,0,2015
 PETRÓLEO ,116704,18082,25,-26800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 GÁS NATURAL ,31660,17001,0,0,-1600,-5688,684,5612,309,178,39,0,1594,0,0,0,9560,0,2014
 CARVÃO VAPOR ,3059,5305,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,3942,0,2014
 CARVÃO METALÚRGICO ,0,8110,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 URÂNIO U3O8 ,681,2883,-1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 ENERGIA HIDRÁULICA ,32115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 LENHA ,25222,0,0,0,0,0,0,0,6108,96,0,2681,0,0,0,0,7782,0,2014
 PRODUTOS DA CANA ,49273,0,0,0,0,0,0,12466,0,0,0,0,0,0,0,0,16145,0,2014
 OUTRAS FONTES PRIMÁRIAS ,14814,0,0,0,0,0,0,0,443,81,0,0,0,0,0,0,6629,0,2014
 ENERGIA PRIMÁRIA TOTAL ,273532,51383,-1933,-26800,-1600,-5688,684,18078,6862,357,39,2681,1594,0,0,0,44060,0,2014
 BIODIESEL ,0,0,-22,0,0,0,0,0,0,0,0,327,2080,53,0,0,63,0,2014
 ÓLEO DIESEL ,0,9561,-179,-793,0,0,0,801,0,6,3,5833,37433,948,0,352,1139,0,2014
 ÓLEO COMBUSTÍVEL ,0,381,-54,-8109,0,0,0,311,0,21,10,24,0,0,0,995,2613,0,2014
 GASOLINA ,0,1625,501,-280,0,0,0,0,0,0,0,0,25681,0,58,0,0,0,2014
 GLP ,0,2276,-10,-10,0,0,0,5,6535,442,257,2,0,0,0,0,1120,0,2014
 NAFTA ,0,5237,-65,0,0,0,6194,0,0,0,0,0,0,0,0,0,0,0,2014
 QUEROSENE ,0,1235,-56,-2506,0,0,5,0,3,0,0,0,0,0,3650,0,1,0,2014
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1199,0,2014
 COQUE DE CARVÃO MINERAL ,0,1254,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,7732,0,2014
 URÂNIO CONTIDO NO UO2,0,1022,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 ELETRICIDADE,0,2904,0,0,0,0,0,3171,11377,7795,3685,2285,0,170,0,0,17805,0,2014
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,478,91,0,8,0,0,0,0,3716,0,2014
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511,-848,-766,0,0,582,0,0,0,0,11,13008,0,0,0,0,0,2014
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2997,-1,-384,0,0,300,3984,0,0,0,0,0,0,0,0,7438,0,2014
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1132,4,-530,0,0,8094,0,0,0,0,0,0,0,0,0,0,0,2014
 ALCATRÃO ,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,92,0,2014
 ENERGIA SECUNDÁRIA TOTAL ,0,30141,464,-13383,0,0,15324,8461,18394,8356,3957,8492,78203,1172,3708,1347,42925,0,2014
 TOTAL  ,273532,81525,-1468,-40183,-1600,-5688,16008,26540,25256,8713,3997,11173,79797,1172,3708,1347,86985,0,2014
 PETRÓLEO ,104762,20372,-4,-20510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 GÁS NATURAL ,27968,14926,0,0,-1293,-3809,836,4722,321,181,44,0,1647,0,0,0,9653,0,2013
 CARVÃO VAPOR ,3298,4205,-143,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,0,2013
 CARVÃO METALÚRGICO ,0,7837,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 URÂNIO U3O8 ,2374,601,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 ENERGIA HIDRÁULICA ,33625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 LENHA ,24787,0,0,0,0,0,0,0,5741,96,0,2639,0,0,0,0,7703,0,2013
 PRODUTOS DA CANA ,49305,0,0,0,0,0,0,12241,0,0,0,0,0,0,0,0,17238,0,2013
 OUTRAS FONTES PRIMÁRIAS ,12773,0,0,0,0,0,0,0,395,70,0,0,0,0,0,0,6359,0,2013
 ENERGIA PRIMÁRIA TOTAL ,258896,47943,1849,-20510,-1293,-3809,836,16963,6457,347,44,2639,1647,0,0,0,44584,0,2013
 BIODIESEL ,0,0,-25,0,0,0,0,0,0,0,0,274,1794,47,0,0,53,0,2013
 ÓLEO DIESEL ,0,8500,-129,-873,0,0,0,737,0,5,4,5593,37155,968,0,340,1096,0,2013
 ÓLEO COMBUSTÍVEL ,0,92,34,-8482,0,0,0,369,0,14,11,28,0,0,0,957,2676,0,2013
 GASOLINA ,0,1743,1031,-267,0,0,0,0,0,0,0,0,24393,0,58,0,0,0,2013
 GLP ,0,2060,4,-55,0,0,0,78,6521,419,256,12,0,0,0,0,1026,0,2013
 NAFTA ,0,5261,124,0,0,0,6564,0,0,0,0,0,0,0,0,0,0,0,2013
 QUEROSENE ,0,1466,33,-2382,0,0,8,0,3,0,0,0,0,0,3608,0,2,0,2013
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1199,0,2013
 COQUE DE CARVÃO MINERAL ,0,1308,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7806,0,2013
 URÂNIO CONTIDO NO UO2,0,3333,-4253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 ELETRICIDADE,0,3468,0,0,0,0,0,3146,10741,7258,3554,2045,0,162,0,0,18073,0,2013
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,401,90,0,8,0,0,0,0,3769,0,2013
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,68,-227,-1542,0,0,666,0,0,0,0,10,11889,0,0,0,0,0,2013
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2983,5,-352,0,0,339,3596,0,0,0,0,0,0,0,0,7610,0,2013
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1063,64,-350,0,0,7793,0,0,0,0,0,0,0,0,0,0,0,2013
 ALCATRÃO ,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,89,0,2013
 ENERGIA SECUNDÁRIA TOTAL ,0,31350,-3314,-14306,0,0,15492,8115,17667,7787,3827,7974,75232,1177,3666,1297,43405,0,2013
 TOTAL  ,258896,79293,-1464,-34816,-1293,-3809,16328,25078,24125,8135,3871,10613,76879,1177,3666,1297,87989,0,2013
 PETRÓLEO ,107257,17855,542,-27608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 GÁS NATURAL ,25573,11601,0,0,-1430,-3147,898,4471,295,192,44,0,1708,0,0,0,9713,0,2012
 CARVÃO VAPOR ,2517,3313,107,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,0,2012
 CARVÃO METALÚRGICO ,0,7840,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 URÂNIO U3O8 ,3880,3853,-1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 ENERGIA HIDRÁULICA ,35719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 LENHA ,25682,0,0,0,0,0,0,0,6472,96,0,2421,0,0,0,0,7480,0,2012
 PRODUTOS DA CANA ,45116,0,0,0,0,0,0,10507,0,0,0,0,0,0,0,0,17868,0,2012
 OUTRAS FONTES PRIMÁRIAS ,11706,0,0,0,0,0,0,0,352,59,0,0,0,0,0,0,5944,0,2012
 ENERGIA PRIMÁRIA TOTAL ,257454,44465,-211,-27608,-1430,-3147,898,14979,7120,348,44,2421,1708,0,0,0,44596,0,2012
 BIODIESEL ,0,0,28,0,0,0,0,0,0,0,0,275,1695,47,0,0,49,0,2012
 ÓLEO DIESEL ,0,8241,319,-671,0,0,0,687,0,8,6,5594,34836,976,0,358,1004,0,2012
 ÓLEO COMBUSTÍVEL ,0,217,72,-8711,0,0,0,374,0,19,8,21,0,0,0,938,2633,0,2012
 GASOLINA ,0,2915,1009,-116,0,0,0,0,0,0,0,0,24453,0,58,0,0,0,2012
 GLP ,0,1743,-59,-19,0,0,0,0,6393,438,255,11,0,0,0,0,924,0,2012
 NAFTA ,0,5380,57,0,0,0,7424,0,0,0,0,0,0,0,0,0,0,0,2012
 QUEROSENE ,0,1537,21,-2255,0,0,15,0,4,0,0,0,0,0,3761,0,2,0,2012
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,1236,0,2012
 COQUE DE CARVÃO MINERAL ,0,1097,226,0,0,0,0,0,0,0,0,0,0,0,0,0,7998,0,2012
 URÂNIO CONTIDO NO UO2,0,6522,-8923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 ELETRICIDADE,0,3502,0,-40,0,0,0,2734,10117,6862,3424,2001,0,162,0,0,18027,0,2012
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,478,90,0,7,0,0,0,0,4022,0,2012
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,291,-249,-1601,0,0,606,0,0,0,0,10,9906,0,0,0,0,0,2012
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2933,-24,-277,0,0,405,3104,0,0,0,0,0,0,0,0,7643,0,2012
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1027,-31,-240,0,0,7399,0,0,0,0,0,0,0,0,0,0,0,2012
 ALCATRÃO ,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,99,0,2012
 ENERGIA SECUNDÁRIA TOTAL ,0,35410,-7552,-13933,0,0,15966,7093,16993,7419,3695,7920,70892,1186,3819,1297,43641,0,2012
 TOTAL  ,257454,79875,-7764,-41542,-1430,-3147,16865,22073,24113,7768,3740,10342,72601,1186,3819,1297,88238,0,2012
 PETRÓLEO ,108976,17139,-758,-31221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 GÁS NATURAL ,23888,9223,0,0,-1665,-3724,897,4671,279,188,43,0,1735,0,0,0,9888,0,2011
 CARVÃO VAPOR ,2133,3546,-148,-40,0,0,0,0,0,0,0,0,0,0,0,0,3714,0,2011
 CARVÃO METALÚRGICO ,0,8659,-236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 URÂNIO U3O8 ,4208,965,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 ENERGIA HIDRÁULICA ,36836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 LENHA ,25996,0,0,0,0,0,0,0,6505,95,0,2445,0,0,0,0,7357,0,2011
 PRODUTOS DA CANA ,43269,0,0,0,0,0,0,10411,0,0,0,0,0,0,0,0,16901,0,2011
 OUTRAS FONTES PRIMÁRIAS ,11496,0,0,0,0,0,0,0,314,51,0,0,0,0,0,0,6105,0,2011
 ENERGIA PRIMÁRIA TOTAL ,256807,39534,744,-31261,-1665,-3724,897,15082,7099,334,43,2445,1735,0,0,0,43966,0,2011
 BIODIESEL ,0,0,-99,0,0,0,0,0,0,0,0,264,1573,46,0,0,46,0,2011
 ÓLEO DIESEL ,0,7914,-231,-941,0,0,0,945,0,8,3,5379,32903,951,0,339,950,0,2011
 ÓLEO COMBUSTÍVEL ,0,678,-25,-8900,0,0,0,519,0,18,6,16,0,0,0,983,2884,0,2011
 GASOLINA ,0,1688,112,-249,0,0,0,0,0,0,0,0,20837,0,53,0,0,0,2011
 GLP ,0,2071,-7,-26,0,0,0,13,6364,351,420,12,0,0,0,0,837,0,2011
 NAFTA ,0,5454,23,0,0,0,7385,0,0,0,0,0,0,0,0,0,0,0,2011
 QUEROSENE ,0,1482,-76,-2168,0,0,16,0,5,0,0,0,0,0,3568,0,2,0,2011
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,1288,0,2011
 COQUE DE CARVÃO MINERAL ,0,1478,56,0,0,0,0,0,0,0,0,0,0,0,0,0,8209,0,2011
 URÂNIO CONTIDO NO UO2,0,2320,-5196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 ELETRICIDADE,0,3305,0,-218,0,0,0,2082,9629,6368,3282,1845,0,146,0,0,18007,0,2011
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,483,92,0,7,0,0,0,0,4220,0,2011
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,600,-76,-1016,0,0,544,0,0,0,0,8,10734,0,0,0,0,0,2011
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3469,-21,-236,0,0,342,3324,0,0,0,0,0,0,0,0,7707,0,2011
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1062,-7,-427,0,0,7529,0,0,0,0,0,0,0,0,0,0,0,2011
 ALCATRÃO ,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,102,0,2011
 ENERGIA SECUNDÁRIA TOTAL ,0,31525,-5549,-14185,0,0,15940,7087,16482,6840,3713,7534,66049,1144,3622,1322,44257,0,2011
 TOTAL  ,256807,71060,-4804,-45446,-1665,-3724,16837,22170,23582,7174,3757,9980,67784,1144,3622,1322,88224,0,2011
 PETRÓLEO ,106558,17515,1185,-32650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 GÁS NATURAL ,22770,11129,0,0,-2365,-3999,1452,4191,255,201,59,2,1766,0,0,0,8957,0,2010
 CARVÃO VAPOR ,2104,2895,141,0,0,0,0,4,0,0,0,0,0,0,0,0,3232,0,2010
 CARVÃO METALÚRGICO ,0,7972,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 URÂNIO U3O8 ,1766,1418,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 ENERGIA HIDRÁULICA ,34682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 LENHA ,25997,0,0,0,0,0,0,0,7276,88,0,2523,0,0,0,0,7163,0,2010
 PRODUTOS DA CANA ,48852,0,0,0,0,0,0,12776,0,0,0,0,0,0,0,0,17288,0,2010
 OUTRAS FONTES PRIMÁRIAS ,10706,0,0,0,0,0,0,0,282,44,0,0,0,0,0,0,6048,0,2010
 ENERGIA PRIMÁRIA TOTAL ,253440,40931,3125,-32650,-2365,-3999,1452,16973,7813,335,59,2525,1766,0,0,0,42690,0,2010
 BIODIESEL ,0,0,0,0,0,0,0,0,0,1,0,267,1450,45,0,0,33,0,2010
 ÓLEO DIESEL ,0,7637,8,-1310,0,0,0,907,0,33,11,5486,31085,943,0,414,689,0,2010
 ÓLEO COMBUSTÍVEL ,0,154,-10,-7966,0,0,0,631,0,24,3,78,0,0,0,965,3235,0,2010
 GASOLINA ,0,393,-64,-594,0,0,0,0,0,0,0,0,17524,0,53,0,0,0,2010
 GLP ,0,1907,34,-4,0,0,0,15,6297,297,380,8,0,0,0,0,701,0,2010
 NAFTA ,0,5136,-86,0,0,0,7600,0,0,0,0,0,0,0,0,0,0,0,2010
 QUEROSENE ,0,1580,-10,-1976,0,0,7,0,4,0,0,0,0,0,3187,0,2,0,2010
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,1249,0,2010
 COQUE DE CARVÃO MINERAL ,0,1242,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,7516,0,2010
 URÂNIO CONTIDO NO UO2,0,3526,-4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 ELETRICIDADE,0,3087,0,-108,0,0,0,2307,9220,5995,3180,1628,0,142,0,0,17488,0,2010
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,509,86,0,7,0,0,0,0,4045,0,2010
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,39,-805,-983,0,0,587,0,0,0,0,7,12032,0,0,0,0,0,2010
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3384,-7,-157,0,0,98,3560,0,0,0,0,0,0,0,0,7504,0,2010
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1722,-174,-489,0,0,7796,0,0,0,0,0,0,0,0,0,0,0,2010
 ALCATRÃO ,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,94,0,2010
 ENERGIA SECUNDÁRIA TOTAL ,0,29814,-5666,-13591,0,0,16233,7606,16031,6439,3575,7484,62094,1132,3240,1380,42562,0,2010
 TOTAL  ,253440,70745,-2540,-46241,-2365,-3999,17685,24580,23844,6774,3635,10010,63860,1132,3240,1380,85252,0,2010
 PETRÓLEO ,100918,19346,-1111,-27117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 GÁS NATURAL ,20982,7361,0,0,-3012,-4002,717,4994,237,189,59,1,1853,0,0,0,7253,0,2009
 CARVÃO VAPOR ,1912,1998,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2402,0,2009
 CARVÃO METALÚRGICO ,166,6627,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 URÂNIO U3O8 ,4117,29,-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 ENERGIA HIDRÁULICA ,33624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 LENHA ,24609,0,0,0,0,0,0,0,7528,80,0,2410,0,0,0,0,6563,0,2009
 PRODUTOS DA CANA ,44775,0,0,0,0,0,0,12257,0,0,0,0,0,0,0,0,16186,0,2009
 OUTRAS FONTES PRIMÁRIAS ,9604,0,0,0,0,0,0,0,250,38,0,0,0,0,0,0,5572,0,2009
 ENERGIA PRIMÁRIA TOTAL ,240712,35363,-1293,-27117,-3012,-4002,717,17252,8017,308,59,2412,1853,0,0,0,37979,0,2009
 BIODIESEL ,0,0,0,0,0,0,0,0,0,1,3,176,987,31,0,0,22,0,2009
 ÓLEO DIESEL ,0,2980,-28,-1704,0,0,0,162,0,55,93,5326,28306,954,0,372,682,0,2009
 ÓLEO COMBUSTÍVEL ,0,9,-65,-7166,0,0,0,984,0,121,87,68,0,0,0,985,3727,0,2009
 GASOLINA ,0,9,-61,-1939,0,0,0,0,0,0,0,0,14673,0,46,0,0,0,2009
 GLP ,0,1562,-10,-12,0,0,0,18,6114,134,373,22,0,0,0,0,782,0,2009
 NAFTA ,0,3958,153,-38,0,0,7360,0,0,0,0,0,0,0,0,0,0,0,2009
 QUEROSENE ,0,1043,-42,-1673,0,0,7,0,8,0,0,0,0,0,2827,0,3,0,2009
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,1011,0,2009
 COQUE DE CARVÃO MINERAL ,0,299,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5308,0,2009
 URÂNIO CONTIDO NO UO2,0,3706,-4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 ELETRICIDADE,0,3504,0,-92,0,0,0,1560,8654,5674,3031,1520,0,136,0,0,16059,0,2009
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,584,77,0,7,0,0,0,0,3301,0,2009
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,915,-1715,0,0,751,0,0,0,0,7,11792,0,0,0,0,0,2009
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2869,4,-216,0,0,97,3748,0,0,0,0,0,0,0,0,6891,0,2009
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,968,111,-475,0,0,5844,0,0,0,0,0,0,0,0,0,0,0,2009
 ALCATRÃO ,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,44,0,2009
 ENERGIA SECUNDÁRIA TOTAL ,0,20915,-3158,-15034,0,0,14203,6663,15362,6065,3588,7128,55760,1122,2874,1358,37834,0,2009
 TOTAL  ,240712,56279,-4451,-42151,-3012,-4002,14921,23915,23379,6374,3647,9540,57613,1122,2874,1358,75814,0,2009
 PETRÓLEO ,93999,19688,-27,-22372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 GÁS NATURAL ,21398,9986,0,0,-1924,-3526,710,4926,229,170,58,1,2158,0,0,0,8452,0,2008
 CARVÃO VAPOR ,2551,2635,-246,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,0,2008
 CARVÃO METALÚRGICO ,101,7909,-261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 URÂNIO U3O8 ,3950,371,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 ENERGIA HIDRÁULICA ,31781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 LENHA ,29226,0,0,0,0,0,0,0,7705,77,0,2537,0,0,0,0,6538,0,2008
 PRODUTOS DA CANA ,45018,0,0,0,0,0,0,13305,0,0,0,0,0,0,0,0,15389,0,2008
 OUTRAS FONTES PRIMÁRIAS ,8686,0,0,0,0,0,0,0,223,33,0,0,0,0,0,0,5284,0,2008
 ENERGIA PRIMÁRIA TOTAL ,236714,40590,-283,-22372,-1924,-3526,710,18231,8158,282,58,2539,2158,0,0,0,38746,0,2008
 BIODIESEL ,0,0,0,0,0,0,0,0,0,1,2,137,696,24,0,0,18,0,2008
 ÓLEO DIESEL ,0,4943,-68,-1320,0,0,0,151,0,57,93,5538,28914,985,0,414,730,0,2008
 ÓLEO COMBUSTÍVEL ,0,190,46,-8417,0,0,0,980,0,121,87,68,0,0,0,1037,3980,0,2008
 GASOLINA ,0,0,-50,-2001,0,0,0,0,0,0,0,0,14538,0,46,0,0,0,2008
 GLP ,0,1337,-2,-4,0,0,0,19,6042,308,408,22,0,0,0,0,784,0,2008
 NAFTA ,0,3590,-18,-79,0,0,6878,0,0,0,0,0,0,0,0,0,0,0,2008
 QUEROSENE ,0,1230,22,-1615,0,0,8,0,9,0,0,0,0,0,2810,0,2,0,2008
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,1065,0,2008
 COQUE DE CARVÃO MINERAL ,0,1311,-224,0,0,0,0,0,0,0,0,0,0,0,0,0,6703,0,2008
 URÂNIO CONTIDO NO UO2,0,3547,-4411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 ELETRICIDADE,0,3689,0,-59,0,0,0,1581,8220,5374,2971,1582,0,138,0,0,16960,0,2008
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,530,77,0,7,0,0,0,0,5593,0,2008
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,558,-2704,0,0,790,0,0,0,0,5,11012,0,0,0,0,0,2008
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3086,-184,-279,0,0,91,3581,0,0,0,0,0,0,0,0,6560,0,2008
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1295,-54,-525,0,0,6048,0,0,0,0,0,0,0,0,0,0,0,2008
 ALCATRÃO ,0,8,-8,-6,0,0,148,0,0,0,0,0,0,0,0,0,38,0,2008
 ENERGIA SECUNDÁRIA TOTAL ,0,24231,-4396,-17013,0,0,13966,6447,14803,5941,3563,7361,55162,1147,2857,1452,42437,0,2008
 TOTAL  ,236714,64822,-4679,-39386,-1924,-3526,14676,24679,22961,6223,3621,9900,57320,1147,2857,1452,81184,0,2008
 PETRÓLEO ,90765,21515,-342,-21813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 GÁS NATURAL ,18024,9093,0,0,-1773,-3145,771,3822,220,275,56,12,2251,0,0,0,8092,0,2007
 CARVÃO VAPOR ,2257,2619,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2961,0,2007
 CARVÃO METALÚRGICO ,92,7598,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 URÂNIO U3O8 ,3621,2504,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 ENERGIA HIDRÁULICA ,32165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
