,P,G,C,T
G,7154.21910421373,27274.6493033151,14721.404485571,49150.2728930999
T,183928.34450112,4704.427728,0.0,188632.77222912
I,44536.9969303233,36402.6519349035,47695.732028449,128635.380893676
O,37777.077166764,4915.2104486467,0.0,42692.2876154107
T,273396.637702421,73296.9394148653,62417.1365140201,409110.713631306
