,P,G,C,T
G,7869.6301240102,28904.7313673698,11557.8724449408,48332.2339363207
T,174246.399972375,3881.38608,0.0,178127.786052375
I,41777.5646421268,28520.7489679545,45333.0687824866,115631.382392568
O,38564.0808318149,4165.01751722296,0.0,42729.0983490378
T,262457.675570327,65471.8839325472,56890.9412274274,384820.500730301
