Pais,Ano,Geracao
China,2012,6
Estados Unidos,2012,11
Japão,2012,7
Índia,2012,2
Alemanha,2012,26
Austrália,2012,2
Espanha,2012,12
Itália,2012,19
Coreia do Sul,2012,1
Brasil,2012,0
China,2013,15
Estados Unidos,2013,17
Japão,2013,13
Índia,2013,4
Alemanha,2013,31
Austrália,2013,3
Espanha,2013,13
Itália,2013,21
Coreia do Sul,2013,2
Brasil,2013,0
China,2014,29
Estados Unidos,2014,29
Japão,2014,23
Índia,2014,6
Alemanha,2014,36
Austrália,2014,4
Espanha,2014,13
Itália,2014,22
Coreia do Sul,2014,3
Brasil,2014,0
China,2015,45
Estados Unidos,2015,39
Japão,2015,35
Índia,2015,7
Alemanha,2015,39
Austrália,2015,5
Espanha,2015,13
Itália,2015,23
Coreia do Sul,2015,4
Brasil,2015,0
China,2016,75
Estados Unidos,2016,55
Japão,2016,46
Índia,2016,16
Alemanha,2016,38
Austrália,2016,6
Espanha,2016,13
Itália,2016,22
Coreia do Sul,2016,5
Brasil,2016,0
China,2017,118
Estados Unidos,2017,77
Japão,2017,55
Índia,2017,23
Alemanha,2017,39
Austrália,2017,8
Espanha,2017,14
Itália,2017,24
Coreia do Sul,2017,7
Brasil,2017,1
China,2018,177
Estados Unidos,2018,93
Japão,2018,63
Índia,2018,37
Alemanha,2018,43
Austrália,2018,10
Espanha,2018,12
Itália,2018,22
Coreia do Sul,2018,9
Brasil,2018,3
China,2019,225
Estados Unidos,2019,107
Japão,2019,69
Índia,2019,46
Alemanha,2019,44
Austrália,2019,15
Espanha,2019,14
Itália,2019,23
Coreia do Sul,2019,13
Brasil,2019,7
China,2020,262
Estados Unidos,2020,131
Japão,2020,79
Índia,2020,58
Alemanha,2020,49
Austrália,2020,24
Espanha,2020,20
Itália,2020,25
Coreia do Sul,2020,18
Brasil,2020,11
China,2021,341
Estados Unidos,2021,164
Japão,2021,89
Índia,2021,67
Alemanha,2021,50
Austrália,2021,28
Espanha,2021,26
Itália,2021,25
Coreia do Sul,2021,24
Brasil,2021,17
