,P,G,C,T
G,13169.9959909055,41016.7023419165,17873.0164299445,72059.7147627665
T,191443.199786076,4464.55152,0.0,195907.751306076
I,43197.4337010955,31398.9094914515,51722.9339976237,126319.277190171
O,38309.3729838884,4245.00971443608,0.0,42554.3826983245
T,286120.002461966,81125.1730678041,69595.9504275682,436841.125957338
