,P,G,C,T
G,8040.21430596344,25603.8361666411,13631.3992161321,47275.4496887366
T,182401.47802441,4554.38486953164,0.0,186955.862893942
I,42424.2957552382,38518.4594178035,52197.2210121333,133139.976185175
O,37494.8041830081,4442.39807497638,0.0,41937.2022579845
T,270360.79226862,73119.0785289527,65828.6202282654,409308.491025838
