PAIS,PRODUTO,DADO_TIPO,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional
Austria,"Crude, NGL and feedstocks",Total energy supply (PJ),325.8899989,352.367498,392.8699983,370.642499,350.5400017,397.5450001,371.5349991,418.4225997,461.1202016,453.4777006,389.5493007,342.2229988,307.4087813,325.2988688,349.7405741,353.3870843,355.8773259,354.9768457,359.7824548,383.5031847,402.5271456,412.4976288,409.8450649,414.9370092,391.2659054,407.4976517,436.4045917,424.2845761,405.8697611,377.2123669,403.7680838,405.050576,388.5097768,376.6394829,386.7873692,384.3477083,379.8358786,391.3567883,366.1996343,338.6199099,362.8479251,365.1543159,369.5486138,370.4383799,375.6552416,363.3000408,353.6871062,383.7578133,401.8230849,349.0236557,356.28767
Austria,Oil products,Total energy supply (PJ),94.63300111,105.9490004,114.0098004,78.62140093,94.24760198,82.72520181,98.60979959,64.72300014,69.1973998,52.35420066,60.84120014,92.90600054,114.3033997,79.05460076,60.04979865,72.2713986,90.70200203,66.50280044,54.11580095,50.07460111,63.52019949,43.27620087,54.47319876,44.1054008,69.21699821,92.91339861,61.55200155,101.5835999,92.94520154,113.1558021,121.395998,132.0040011,183.9503991,200.4887992,189.9714152,188.4462561,167.4864612,139.7989225,136.5011644,178.1558888,120.3579815,108.4134053,117.094823,100.9672318,98.7740352,119.1514546,130.6180405,104.7577344,97.41026465,103.2951093,120.9293834
Austria,Natural gas,Total energy supply (PJ),119.0366986,128.5137004,138.3389979,150.224402,150.0236994,170.8983013,174.0005987,180.997202,181.0088999,173.9528984,162.6606006,157.411802,159.7211991,177.7374014,190.6425006,185.1327011,192.8988007,183.7359009,197.1585012,219.2390983,231.7950016,227.6108979,240.0444002,246.9078005,269.5805995,286.9398008,276.5510981,283.9176011,288.8748016,275.6826009,292.1688,290.8619992,313.9974019,321.557402,338.5336158,316.94578,298.6510466,315.8764043,308.5829233,340.0911179,320.9828433,306.7496492,295.6099435,270.7782797,289.2387099,303.2395156,325.5836592,308.2562817,321.4034492,304.9072227,323.7174642
Austria,Nuclear,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Renewables and waste,Total energy supply (PJ),86.56219886,87.420003,97.50700066,109.2221988,114.0737998,102.3224026,118.847003,123.4359996,142.7023972,151.026999,163.6852069,170.5005971,170.6015953,174.6104019,189.4034046,201.7641989,225.7855955,267.3066019,243.2761995,218.9972017,228.6856621,240.5145025,250.3630912,243.8367409,256.0574909,256.6807798,258.4064992,259.3688603,287.9815771,285.737377,291.4377638,286.201086,269.0610762,290.4001073,313.7764059,338.9947457,362.8524677,378.2079503,399.8826036,415.9740125,400.3631729,449.7996931,446.0386237,438.5897747,437.7955681,451.1729677,450.6926747,432.0825916,447.3040421,450.54352,455.9745574
Austria,Electricity,Total energy supply (PJ),-9.363598168,-5.464799766,-5.569201811,-10.65239988,-16.3511999,-7.880399147,-14.18759982,-9.943202012,-13.80599812,-14.29919897,-16.48439875,-15.62039814,-12.589201,-4.766399658,-6.188400223,-5.270398268,-20.19240049,-9.759598272,-8.402400997,-1.652400169,2.754001678,1.994398927,-2.635201228,-2.966398042,-8.892001202,3.427201436,-2.761198787,-0.586800954,-6.836399633,-4.924798862,0.7740011556,2.516400778,20.21039954,11.09159938,9.444302924,22.83992347,21.65902816,17.50224751,2.808660352,8.771844229,29.51768944,10.09067786,26.17363366,33.38900568,36.22145962,25.77337558,23.56529494,32.20849974,11.26289812,7.904921234,27.15535871
Austria,Heat,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1900011708,0.1500004836,0.1719979308,0.1719979308,0.1580014584,0.0326026116,0.1576623276,0.1547985564,0.156230442,0.1451019276,0.155162808,0.0993611376,0.0994616208,0.099478368,0.0952203924,0.1057125132,0.109945368,0.0888564564,0.108145044,0.3581011908,0.365633244,0.6109085484
Austria,Total,Total energy supply (PJ),787.7818068,829.8995704,899.1866012,868.7424357,842.4556245,908.1673291,886.4753089,916.0289965,992.1911213,969.4628598,918.0633668,897.5423234,900.2677376,935.1312087,966.5851047,970.3668109,1006.869515,1017.768978,1001.443259,1041.664766,1108.952637,1065.546152,1077.752214,1074.823602,1122.820219,1193.221378,1184.606929,1204.640373,1202.022995,1197.797166,1265.641856,1276.257211,1345.469567,1367.220826,1406.98933,1420.99274,1392.768943,1403.340023,1334.221033,1423.41176,1379.92235,1376.198133,1393.442871,1341.944164,1373.415895,1388.954525,1414.393447,1375.812922,1400.354001,1319.517059,1390.509838
Belgium,"Coal, peat and oil shale",Total energy supply (PJ),425.122292,444.7560603,468.1467322,520.5513377,394.2490967,424.2853674,407.3845411,438.7680236,476.2911593,477.0283166,464.3677893,448.0346764,410.7180545,459.0950464,434.2541801,388.2654854,395.4694108,405.6718845,431.830475,442.4942002,421.0600409,384.7972241,355.5463426,375.9504319,362.7210566,346.0943318,334.4521264,337.6966284,296.0886371,335.6592227,310.8833773,268.5450531,251.8844068,245.8115749,216.6114165,207.3280081,184.9830775,190.8336909,131.2677104,158.5052895,146.7097677,135.3902138,150.1816339,146.1360421,144.7748255,133.112021,129.4624293,129.1551265,127.9569146,99.99856534,110.1058857
Belgium,"Crude, NGL and feedstocks",Total energy supply (PJ),1292.888249,1560.417752,1594.959752,1293.016499,1251.164249,1248.25725,1561.9995,1445.131249,1448.239999,1431.907748,1250.285252,1065.083251,986.4507506,990.5107492,869.2824994,1118.158251,1138.497001,1104.379999,1140.21425,1130.638335,1268.573998,1243.655441,1198.442021,1203.34311,1116.980864,1342.926789,1387.176915,1450.44993,1353.116803,1431.524593,1400.153294,1415.327811,1514.10404,1469.114056,1361.140407,1356.79965,1386.691158,1400.359197,1259.936613,1306.533214,1208.293348,1269.389637,1174.889198,1369.12538,1342.816634,1309.810197,1394.44476,1350.731369,1411.023374,1098.196149,1174.092773
