data,qtde_negociada,valor_financeiro,mes,ano
2021-02-17,36738,1185526,2,2021
2021-02-18,25200,807440,2,2021
2021-02-19,280717,9015771,2,2021
2021-02-22,323094,10375738,2,2021
2021-02-23,149511,4804690,2,2021
2021-02-24,274557,8818121,2,2021
2021-02-25,167189,5368474,2,2021
2021-02-26,217000,6965280,2,2021
2021-03-01,46808,1500580,3,2021
2021-03-02,93339,2987399,3,2021
2021-03-03,49915,1585953,3,2021
2021-03-04,250515,7869568,3,2021
2021-03-05,98903,2990854,3,2021
2021-03-08,80093,2427530,3,2021
2021-03-09,121910,3663250,3,2021
2021-03-10,89131,2657558,3,2021
2021-03-11,54124,1603069,3,2021
2021-03-12,20000,609120,3,2021
2021-03-15,125877,3759924,3,2021
2021-03-16,121573,3591677,3,2021
2021-03-17,45923,1353630,3,2021
2021-03-18,267369,7845726,3,2021
2021-03-19,121645,3552029,3,2021
2021-03-22,198358,5765738,3,2021
2021-03-23,163096,4695445,3,2021
2021-03-24,144886,4152863,3,2021
2021-03-25,284653,8135897,3,2021
2021-03-26,91976,2627329,3,2021
2021-03-29,171440,4880190,3,2021
2021-03-30,215543,6056578,3,2021
2021-03-31,177021,5038566,3,2021
2021-04-01,149754,4303460,4,2021
2021-04-05,83930,2432670,4,2021
2021-04-06,137648,4022815,4,2021
2021-04-07,276143,8282334,4,2021
2021-04-08,332079,10111960,4,2021
2021-04-09,56786,1748495,4,2021
2021-04-12,152958,4724657,4,2021
2021-04-13,181308,5607467,4,2021
2021-04-14,136312,4218526,4,2021
2021-04-15,178388,5529461,4,2021
2021-04-16,324418,10056918,4,2021
2021-04-19,193829,5965898,4,2021
2021-04-20,84770,2620741,4,2021
2021-04-22,303167,9455328,4,2021
2021-04-23,220850,6887129,4,2021
2021-04-26,54538,1697214,4,2021
2021-04-27,119730,3712488,4,2021
2021-04-28,149263,4613354,4,2021
2021-04-29,174640,5394786,4,2021
2021-04-30,225769,6947559,4,2021
2021-05-03,160342,4922899,5,2021
2021-05-04,68732,2141612,5,2021
2021-05-05,298751,9188166,5,2021
2021-05-06,143470,4408058,5,2021
2021-05-07,316706,9727267,5,2021
2021-05-10,24750,759762,5,2021
2021-05-11,161657,4961227,5,2021
2021-05-12,269617,8255566,5,2021
2021-05-13,284523,8725933,5,2021
2021-05-14,269292,8260022,5,2021
2021-05-17,221708,6801203,5,2021
2021-05-18,70017,2143993,5,2021
2021-05-19,247650,7580248,5,2021
2021-05-20,214197,6549291,5,2021
2021-05-21,139523,4260082,5,2021
2021-05-24,105924,3229412,5,2021
2021-05-25,110176,3358566,5,2021
2021-05-26,215030,6548055,5,2021
2021-05-27,118226,3598666,5,2021
2021-05-28,255684,7724680,5,2021
2021-05-31,32500,976470,5,2021
2021-06-01,199996,5915564,6,2021
2021-06-02,56553,1674740,6,2021
2021-06-04,154118,4557742,6,2021
2021-06-07,27148,802524,6,2021
2021-06-08,359652,10630495,6,2021
2021-06-09,292456,8526630,6,2021
2021-06-10,274972,7862306,6,2021
2021-06-11,46020,1309702,6,2021
2021-06-14,103700,2973309,6,2021
2021-06-15,71207,2021730,6,2021
2021-06-16,273407,7779312,6,2021
2021-06-17,211692,6002538,6,2021
2021-06-18,80780,2288384,6,2021
2021-06-21,165592,4700500,6,2021
2021-06-22,48289,1361977,6,2021
2021-06-23,246319,6941293,6,2021
2021-06-24,192326,5355212,6,2021
2021-06-25,28720,803014,6,2021
2021-06-28,112080,3135082,6,2021
2021-06-29,200942,5611800,6,2021
2021-06-30,137946,3836424,6,2021
2021-07-01,230455,6401119,7,2021
2021-07-02,129430,3591474,7,2021
2021-07-05,57732,1600576,7,2021
2021-07-06,135478,3749658,7,2021
2021-07-07,216631,5985232,7,2021
2021-07-08,38498,1063620,7,2021
2021-07-09,42184,1161104,7,2021
2021-07-12,55140,1524667,7,2021
2021-07-13,147878,4083674,7,2021
2021-07-14,159988,4422111,7,2021
2021-07-15,142544,3934072,7,2021
2021-07-16,134500,3712385,7,2021
2021-07-19,92421,2548526,7,2021
2021-07-20,163835,4517589,7,2021
2021-07-21,128978,3555184,7,2021
2021-07-22,235038,6472862,7,2021
2021-07-23,184972,5087530,7,2021
2021-07-26,155632,4280063,7,2021
2021-07-27,147632,4064357,7,2021
2021-07-28,123634,3400742,7,2021
2021-07-29,143583,3949461,7,2021
2021-07-30,258878,7115639,7,2021
2021-08-02,25630,707128,8,2021
2021-08-03,84379,2319787,8,2021
2021-08-04,75713,2084586,8,2021
2021-08-05,145578,4011919,8,2021
2021-08-06,195284,5372356,8,2021
2021-08-09,141000,3885320,8,2021
2021-08-10,136090,3742150,8,2021
2021-08-11,85391,2350889,8,2021
2021-08-12,153929,4237328,8,2021
2021-08-13,76074,2092326,8,2021
2021-08-16,140808,3883106,8,2021
2021-08-17,84194,2318270,8,2021
2021-08-18,143511,3953535,8,2021
2021-08-19,64674,1780802,8,2021
2021-08-20,200380,5523862,8,2021
2021-08-23,118730,3277884,8,2021
2021-08-24,25857,714437,8,2021
2021-08-25,261966,7269440,8,2021
2021-08-26,113352,3153498,8,2021
2021-08-27,98437,2778314,8,2021
2021-08-30,755600,22602712,8,2021
2021-08-31,144588,4425195,8,2021
2021-09-01,159143,4974331,9,2021
2021-09-02,301436,9818575,9,2021
2021-09-03,1570639,57274662,9,2021
2021-09-06,177907,7110089,9,2021
2021-09-08,3107,123248,9,2021
