Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Nuclear,1990.0,3395,3395,3395,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,5183.0,0,0,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,11999.0,25148,26838,26838,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,6556.0,34451,34253,47738,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,20.0,14276,30106,50106,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,490.0,490,490,490,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,11495,28323,45892,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,17.0,13668,27728,49887,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,95236.0,132779,135213,135287,29. GN Pré-Sal ao preço de US$ 6MMBtu
Gás Natural,11242.0,19153,22255,24255,29. GN Pré-Sal ao preço de US$ 6MMBtu
Carvão,3173.0,2251,340,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Nuclear,1990.0,3395,3395,3395,29. GN Pré-Sal ao preço de US$ 6MMBtu
Óleos Comb,5183.0,0,0,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Biomassa,11999.0,13394,13394,13395,29. GN Pré-Sal ao preço de US$ 6MMBtu
Eólica,6556.0,51273,117209,170706,29. GN Pré-Sal ao preço de US$ 6MMBtu
Solar,20.0,6353,37081,80039,29. GN Pré-Sal ao preço de US$ 6MMBtu
Outros,490.0,490,490,490,29. GN Pré-Sal ao preço de US$ 6MMBtu
Pot. Compl.,0.0,12469,40277,73863,29. GN Pré-Sal ao preço de US$ 6MMBtu
GD,17.0,13668,27728,49887,29. GN Pré-Sal ao preço de US$ 6MMBtu
Hidro,95236.0,140623,152341,152341,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,11242.0,21349,31862,33020,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,3173.0,2251,340,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1990.0,3395,3395,3395,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,5183.0,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,11999.0,25095,27519,28546,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,6556.0,33391,33193,46678,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,20.0,2170,102589,164897,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,490.0,490,490,490,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0.0,9444,32001,76096,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,17.0,13668,27728,49887,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,95236.0,126503,126503,126503,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Gás Natural,11242.0,34043,42169,51019,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Carvão,3173.0,2251,340,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Nuclear,1990.0,3395,3395,3395,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Óleos Comb,5183.0,0,0,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Biomassa,11999.0,13394,13394,13395,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Eólica,6556.0,60808,118295,158197,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Solar,20.0,6353,41822,84780,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Outros,490.0,490,490,490,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Pot. Compl.,0.0,1771,27433,55886,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
GD,17.0,13668,27728,49887,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Hidro,95236.0,138141,143417,145224,08. Repotenciaç╞o de UHE
Gás Natural,11242.0,17499,25625,31676,08. Repotenciaç╞o de UHE
Carvão,3173.0,2251,340,0,08. Repotenciaç╞o de UHE
Nuclear,1990.0,3395,3395,3395,08. Repotenciaç╞o de UHE
Óleos Comb,5183.0,0,0,0,08. Repotenciaç╞o de UHE
Biomassa,11999.0,13458,13458,13458,08. Repotenciaç╞o de UHE
Eólica,6556.0,49176,102708,145814,08. Repotenciaç╞o de UHE
Solar,20.0,2170,23006,65964,08. Repotenciaç╞o de UHE
Outros,490.0,490,490,490,08. Repotenciaç╞o de UHE
Pot. Compl.,0.0,11150,34930,61447,08. Repotenciaç╞o de UHE
GD,17.0,13668,27728,49887,08. Repotenciaç╞o de UHE
