Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Óleos Comb,310.0,0,0,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4036.0,8191,8854,8624,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,2886.0,15590,15632,21786,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,5.0,3986,8504,14131,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,427.0,427,427,427,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,0,0,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,1.0,3014,6338,11463,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,48825.0,70767,70311,68400,29. GN Pré-Sal ao preço de US$ 6MMBtu
Gás Natural,5788.0,5232,4527,5033,29. GN Pré-Sal ao preço de US$ 6MMBtu
Carvão,1827.0,701,246,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Nuclear,1724.0,2962,3007,2962,29. GN Pré-Sal ao preço de US$ 6MMBtu
Óleos Comb,310.0,0,0,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Biomassa,4036.0,4590,4292,4096,29. GN Pré-Sal ao preço de US$ 6MMBtu
Eólica,2886.0,23267,52677,76566,29. GN Pré-Sal ao preço de US$ 6MMBtu
Solar,5.0,1722,10431,22517,29. GN Pré-Sal ao preço de US$ 6MMBtu
Outros,427.0,427,427,427,29. GN Pré-Sal ao preço de US$ 6MMBtu
Pot. Compl.,0.0,0,0,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
GD,1.0,3014,6338,11463,29. GN Pré-Sal ao preço de US$ 6MMBtu
Hidro,48825.0,75225,81142,82256,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,5788.0,6218,8030,17309,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,1827.0,971,285,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1724.0,3007,3007,3052,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,310.0,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,4036.0,8169,8646,8730,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,2886.0,15106,15148,21302,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,5.0,545,29235,46924,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,427.0,427,427,427,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0.0,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,1.0,3014,6338,11463,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,46654.0,66367,66118,66141,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Gás Natural,6704.0,5065,6820,10980,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Carvão,1883.0,872,246,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Nuclear,1769.0,3007,3007,3052,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Óleos Comb,1178.0,0,0,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Biomassa,4036.0,4590,4292,4096,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Eólica,2886.0,27619,53243,71454,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Solar,5.0,1722,11765,23850,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Outros,427.0,427,427,427,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Pot. Compl.,0.0,0,0,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
GD,1.0,3014,6338,11463,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Hidro,48809.0,73299,77735,77519,08. Repotenciaç╞o de UHE
Gás Natural,5804.0,4827,6775,9784,08. Repotenciaç╞o de UHE
Carvão,1827.0,688,285,0,08. Repotenciaç╞o de UHE
Nuclear,1724.0,2962,3007,3052,08. Repotenciaç╞o de UHE
Óleos Comb,310.0,0,0,0,08. Repotenciaç╞o de UHE
Biomassa,4036.0,4610,4346,4116,08. Repotenciaç╞o de UHE
Eólica,2886.0,22310,46873,66546,08. Repotenciaç╞o de UHE
Solar,5.0,545,6472,18557,08. Repotenciaç╞o de UHE
Outros,427.0,427,427,427,08. Repotenciaç╞o de UHE
Pot. Compl.,0.0,0,0,0,08. Repotenciaç╞o de UHE
GD,1.0,3014,6338,11463,08. Repotenciaç╞o de UHE
Hidro,48809.0,69761,73044,71835,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,5804.0,4370,6642,9710,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Carvão,1827.0,622,285,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Nuclear,1724.0,8738,9104,9470,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,310.0,0,0,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Biomassa,4036.0,4742,4482,4252,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Eólica,2886.0,20036,43578,63865,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Solar,5.0,972,8358,20443,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Outros,427.0,427,427,427,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0.0,0,0,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
GD,1.0,3014,6338,11463,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Hidro,46654.0,66844,64473,58582,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Gás Natural,6703.0,2792,2856,1139,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Carvão,1883.0,584,246,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Nuclear,1769.0,2962,2962,2917,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Óleos Comb,1178.0,0,0,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Biomassa,4036.0,9110,7910,7071,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Eólica,2886.0,25209,55180,85915,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Solar,5.0,1741,11864,23949,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Outros,427.0,427,427,427,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Pot. Compl.,0.0,0,0,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
GD,1.0,3014,6338,11463,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Hidro,48825.0,72622,82331,85491,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,5788.0,4537,5198,9340,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,1827.0,1765,1667,1612,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
