Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão Centralizada,577.0,726,27. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão por GD,99.0,96,27. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão Centralizada,630.0,793,02. Matriz Elétrica com expans╞o 100 por cento renovável
Expansão por GD,99.0,65,02. Matriz Elétrica com expans╞o 100 por cento renovável
Expansão Centralizada,609.0,767,25. Expans╞o de 10.000 MW de Usinas Nucleares
Expansão por GD,99.0,65,25. Expans╞o de 10.000 MW de Usinas Nucleares
Expansão Centralizada,169.0,213,01. Estagnaç╞o
Expansão por GD,99.0,38,01. Estagnaç╞o
Expansão Centralizada,573.0,722,39.TodoTI Potencial Hidrelétrico Inventariado sem áreas de interferência
Expansão por GD,99.0,65,39.TodoTI Potencial Hidrelétrico Inventariado sem áreas de interferência
Expansão Centralizada,746.0,940,06. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Expansão por GD,99.0,65,06. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Expansão Centralizada,571.0,719,45. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento maior
Expansão por GD,99.0,65,45. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento maior
Expansão Centralizada,588.0,741,20. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Expansão por GD,99.0,65,20. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Expansão Centralizada,588.0,741,34. UHEs em áreas de interferência com Unidades de Conservaç╞o (UC) com CAPEX dobrado
Expansão por GD,99.0,65,34. UHEs em áreas de interferência com Unidades de Conservaç╞o (UC) com CAPEX dobrado
Expansão Centralizada,475.0,599,19. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,99.0,65,19. Repotenciaç╞o e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,573.0,722,57. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,99.0,65,57. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,586.0,738,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50 por cento maior na entressafra
