Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Pot. Compl.,0,11495,28323,45893,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,0,904,2005,3733,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,62140,92532,92473,85811,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Gás Natural,10652,17936,19941,22533,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Carvão,2107,1689,255,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Nuclear,1652,2983,2983,2983,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Óleos Comb,4507,0,0,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Biomassa,4255,4945,4771,4554,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Eólica,1499,14913,32267,46448,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Solar,4,1271,7416,16008,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Outros,452,452,452,452,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Pot. Compl.,0,12470,40278,72516,29. GN Pré-Sal ao preço de US$ 6/MMBtu
GD,0,904,2005,3733,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Hidro,63353,95488,100914,96622,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,9971,20228,29537,30779,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,2380,1689,255,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1652,2983,2983,2983,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,4082,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,4040,8923,9574,3979,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,1334,9548,9215,14003,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,4,434,15906,26392,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,452,452,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0,9444,32453,76548,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,0,904,2005,3733,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,63959,95535,107592,107428,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Gás Natural,10476,18469,27644,35650,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Carvão,2380,2635,1772,1772,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Nuclear,1652,2983,2983,2983,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Óleos Comb,3820,0,0,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Biomassa,3951,6645,8001,8377,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Eólica,574,11015,19780,37497,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Solar,4,1386,7518,7518,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Outros,452,452,452,452,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Pot. Compl.,0,10071,25095,49629,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
GD,0,904,2005,3733,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Hidro,63293,96651,97730,95585,8. Repotenciação de UHE
Gás Natural,10147,16580,24279,29325,8. Repotenciação de UHE
Carvão,1638,1689,255,0,8. Repotenciação de UHE
Nuclear,1652,2983,2983,2983,8. Repotenciação de UHE
Óleos Comb,4472,0,0,0,8. Repotenciação de UHE
Biomassa,4202,4966,4793,4576,8. Repotenciação de UHE
Eólica,1408,14284,30812,43744,8. Repotenciação de UHE
Solar,4,434,4601,13193,8. Repotenciação de UHE
Outros,452,452,452,452,8. Repotenciação de UHE
Pot. Compl.,0,11151,34931,61447,8. Repotenciação de UHE
GD,0,904,2005,3733,8. Repotenciação de UHE
Hidro,65587,92390,92210,89064,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Gás Natural,9114,15057,23633,27083,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Carvão,2107,1689,255,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Nuclear,1652,8830,8830,8830,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,3553,0,0,0,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Biomassa,4041,5118,4944,4727,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Eólica,761,12789,28297,41633,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Solar,2,738,5942,14534,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Outros,452,452,452,452,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0,12127,36273,64984,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
GD,0,904,2005,3733,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Hidro,65138,89764,90005,81490,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Gás Natural,9450,22502,25123,22978,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Carvão,2380,1689,255,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Nuclear,1652,2983,2983,2983,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Óleos Comb,3439,0,0,0,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Biomassa,4020,14511,14338,14121,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Eólica,734,16004,31579,50637,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Solar,4,1285,8435,17026,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Outros,452,452,452,452,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Pot. Compl.,0,0,27667,61618,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
GD,0,904,2005,3733,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Hidro,63353,93860,105044,105814,61. Carvão financiado com redução de 20% no CAPEX
Gás Natural,9971,15124,22577,23181,61. Carvão financiado com redução de 20% no CAPEX
Carvão,2380,3189,1755,1500,61. Carvão financiado com redução de 20% no CAPEX
Nuclear,1652,2983,2983,2983,61. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,4082,0,0,0,61. Carvão financiado com redução de 20% no CAPEX
Biomassa,4040,8574,8401,8184,61. Carvão financiado com redução de 20% no CAPEX
Eólica,1334,12078,29187,40799,61. Carvão financiado com redução de 20% no CAPEX
Solar,4,434,944,7605,61. Carvão financiado com redução de 20% no CAPEX
Outros,452,452,452,452,61. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,12496,29493,60789,61. Carvão financiado com redução de 20% no CAPEX
