Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Pot. Compl.,0,0,0,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,2,3015,6339,11464,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,48826,70768,70312,68400,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Gás Natural,5788,5233,4527,5033,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Carvão,1828,701,247,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Nuclear,1725,2963,3008,2963,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Óleos Comb,311,0,0,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Biomassa,4037,4591,4293,4097,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Eólica,2887,23268,52677,76567,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Solar,5,1722,10432,22517,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Outros,428,428,428,428,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Pot. Compl.,0,0,0,0,29. GN Pré-Sal ao preço de US$ 6/MMBtu
GD,2,3015,6339,11464,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Hidro,48826,75225,81143,82257,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,5788,6219,8030,17310,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,1828,972,285,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1725,3008,3008,3053,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,311,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,4037,8169,8646,8730,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,2887,15107,15149,21303,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,5,545,29235,46924,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,428,428,428,428,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,2,3015,6339,11464,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,46655,66368,66119,66142,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Gás Natural,6704,5065,6820,10980,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Carvão,1884,872,247,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Nuclear,1770,3008,3008,3053,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Óleos Comb,1178,0,0,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Biomassa,4037,4591,4293,4097,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Eólica,2887,27619,53244,71454,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Solar,5,1722,11766,23851,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Outros,428,428,428,428,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Pot. Compl.,0,0,0,0,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
GD,2,3015,6339,11464,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Hidro,48809,73300,77736,77519,8. Repotenciação de UHE
Gás Natural,5804,4827,6775,9785,8. Repotenciação de UHE
Carvão,1828,689,285,0,8. Repotenciação de UHE
Nuclear,1725,2963,3008,3053,8. Repotenciação de UHE
Óleos Comb,311,0,0,0,8. Repotenciação de UHE
Biomassa,4037,4611,4346,4116,8. Repotenciação de UHE
Eólica,2887,22311,46873,66546,8. Repotenciação de UHE
Solar,5,545,6472,18557,8. Repotenciação de UHE
Outros,428,428,428,428,8. Repotenciação de UHE
